target_id	length	eff_length	est_counts	tpm
FBtr0070129	869	686.323	86.1131	7.62325
FBtr0070126	935	752.323	1903.25	153.706
FBtr0070128	913	730.323	0	0
FBtr0070124	1472	1289.32	0	0
FBtr0070127	1050	867.323	884.387	61.9528
FBtr0100530	1544	1361.32	63.4943	2.83383
FBtr0345314	826	643.39	4.04338	0.38183
FBtr0070123	1087	904.323	71.0219	4.77165
FBtr0070125	845	662.39	280.694	25.7466
FBtr0305494	2809	2626.32	77.0994	1.78362
FBtr0070898	1785	1602.32	15.9648	0.605359
FBtr0076372	804	621.39	0	0
FBtr0083376	1088	905.323	359.797	24.1465
FBtr0337064	1216	1033.32	185.675	10.9174
FBtr0333082	779	596.39	0	0
FBtr0333081	1394	1211.32	164.124	8.23211
FBtr0076896	792	609.39	202.433	20.183
FBtr0343759	1362	1179.32	0	0
FBtr0070134	1236	1053.32	15	0.865226
FBtr0081133	2859	2676.32	302	6.85596
FBtr0084716	2511	2328.32	0	0
FBtr0333157	812	629.39	0	0
FBtr0073653	818	635.39	294	28.113
FBtr0310000	4225	4042.32	0	0
FBtr0310001	5111	4928.32	1423.04	17.5436
FBtr0273391	3923	3740.32	0	0
FBtr0079344	4776	4593.32	0	0
FBtr0343867	5007	4824.32	34.336	0.432428
FBtr0307033	5383	5200.32	2908.66	33.9831
FBtr0344520	3428	3245.32	0	0
FBtr0332869	727	544.446	0	0
FBtr0100555	3231	3048.32	13.5	0.269075
FBtr0100880	291	118.196	266	136.734
FBtr0077015	920	737.323	1577	129.949
FBtr0290083	1202	1019.32	50	2.98029
FBtr0334766	1110	927.323	0	0
FBtr0303151	1687	1504.32	0	0
FBtr0087231	1682	1499.32	442.2	17.9194
FBtr0087232	1683	1500.32	158.8	6.43079
FBtr0074346	819	636.39	0	0
FBtr0073202	1947	1764.32	1122	38.638
FBtr0332429	472	289.946	0	0
FBtr0070682	696	513.446	1002	118.569
FBtr0087075	1378	1195.32	78	3.96469
FBtr0340004	2017	1834.32	0	0
FBtr0087339	1579	1396.32	91	3.95964
FBtr0290211	640	457.446	527.913	70.1167
FBtr0344291	631	448.446	203.921	27.6281
FBtr0083632	970	787.323	650.683	50.213
FBtr0304675	3624	3441.32	0	0
FBtr0076343	4274	4091.32	591.368	8.78201
FBtr0332249	2849	2666.32	0	0
FBtr0076210	1891	1708.32	602	21.4105
FBtr0333497	2167	1984.32	0	0
FBtr0333500	2649	2466.32	117.289	2.88939
FBtr0333494	2593	2410.32	0	0
FBtr0333507	2913	2730.32	0	0
FBtr0333496	2039	1856.32	0	0
FBtr0333504	2886	2703.32	91.5938	2.05858
FBtr0333509	5560	5377.32	0	0
FBtr0345690	7304	7121.32	0	0
FBtr0333506	1695	1512.32	1.30631	0.0524808
FBtr0333502	4814	4631.32	0	0
FBtr0333495	4814	4631.32	0	0
FBtr0333508	3014	2831.32	0	0
FBtr0333503	3380	3197.32	0	0
FBtr0347552	5074	4891.32	2068.12	25.6891
FBtr0333505	3620	3437.32	442.77	7.82632
FBtr0333499	2188	2005.32	0	0
FBtr0333498	2268	2085.32	0	0
FBtr0333501	7545	7362.32	507.178	4.18548
FBtr0333493	5029	4846.32	32.2985	0.40492
FBtr0345689	7646	7463.32	28.4427	0.231547
FBtr0087085	896	713.323	0	0
FBtr0081328	2231	2048.32	0	0
FBtr0081329	2105	1922.32	1	0.0316063
FBtr0081330	2163	1980.32	0	0
FBtr0306234	2310	2127.32	0	0
FBtr0071903	4682	4499.32	28	0.378103
FBtr0306684	5786	5603.32	6.84802e-008	7.42539e-010
FBtr0302596	5705	5522.32	354	3.89477
FBtr0307272	1406	1223.32	1390	69.0357
FBtr0071072	1129	946.323	0	0
FBtr0072906	1300	1117.32	6668.29	362.606
FBtr0072908	1414	1231.32	20.3511	1.00419
FBtr0072907	1574	1391.32	170.363	7.43956
