target_id	length	eff_length	est_counts	tpm
FBtr0070129	869	692.074	39.8089	3.51271
FBtr0070126	935	758.003	1743.56	140.469
FBtr0070128	913	736.003	0	0
FBtr0070124	1472	1295	0	0
FBtr0070127	1050	873.003	622.045	43.5132
FBtr0100530	1544	1367	81.8544	3.65668
FBtr0345314	826	649.074	550.802	51.8222
FBtr0070123	1087	910.003	3.76146	0.252422
FBtr0070125	845	668.074	353.169	32.2829
FBtr0305494	2809	2632	62.8405	1.45803
FBtr0070898	1785	1608	64.6081	2.45366
FBtr0076372	804	627.074	21	2.0451
FBtr0083376	1088	911.003	419.662	28.1316
FBtr0337064	1216	1039	85.7881	5.04225
FBtr0333082	779	602.074	0	0
FBtr0333081	1394	1217	72.8026	3.65317
FBtr0076896	792	615.074	206.205	20.4733
FBtr0343759	1362	1185	0	0
FBtr0070134	1236	1059	0	0
FBtr0081133	2859	2682	298	6.78534
FBtr0084716	2511	2334	14	0.366303
FBtr0333157	812	635.074	0	0
FBtr0073653	818	641.074	343	32.6738
FBtr0310000	4225	4048	0	0
FBtr0310001	5111	4934	1720.36	21.2928
FBtr0273391	3923	3746	0	0
FBtr0079344	4776	4599	0	0
FBtr0343867	5007	4830	57.6605	0.72903
FBtr0307033	5383	5206	2487.34	29.1773
FBtr0344520	3428	3251	0	0
FBtr0332869	727	550.074	0	0
FBtr0100555	3231	3054	3.5	0.0699863
FBtr0100880	291	123.749	263	129.786
FBtr0077015	920	743.003	1418	116.547
FBtr0290083	1202	1025	15	0.893677
FBtr0334766	1110	933.003	0	0
FBtr0303151	1687	1510	0	0
FBtr0087231	1682	1505	4.11647e-007	1.67033e-008
FBtr0087232	1683	1506	1201	48.7003
FBtr0074346	819	642.074	0	0
FBtr0073202	1947	1770	726	25.0482
FBtr0332429	472	295.675	0	0
FBtr0070682	696	519.074	696	81.883
FBtr0087075	1378	1201	218	11.0848
FBtr0340004	2017	1840	8.50908	0.282409
FBtr0087339	1579	1402	40.5164	1.76481
FBtr0290211	640	463.074	0	0
FBtr0344291	631	454.074	626.579	84.2681
FBtr0083632	970	793.003	678.344	52.2384
FBtr0304675	3624	3447	0	0
FBtr0076343	4274	4097	271.288	4.04369
FBtr0332249	2849	2672	0	0
FBtr0076210	1891	1714	1009	35.9496
FBtr0333497	2167	1990	0	0
FBtr0333500	2649	2472	17.1036	0.422524
FBtr0333494	2593	2416	0	0
FBtr0333507	2913	2736	0	0
FBtr0333496	2039	1862	5.59649	0.183548
FBtr0333504	2886	2709	247.71	5.58404
FBtr0333509	5560	5383	0	0
FBtr0345690	7304	7127	0	0
FBtr0333506	1695	1518	8.2395	0.331469
FBtr0333502	4814	4637	0	0
FBtr0333495	4814	4637	0	0
FBtr0333508	3014	2837	0	0
FBtr0333503	3380	3203	0	0
FBtr0347552	5074	4897	1305.21	16.2766
FBtr0333505	3620	3443	185.206	3.28498
FBtr0333499	2188	2011	0	0
FBtr0333498	2268	2091	0	0
FBtr0333501	7545	7368	532.667	4.4149
FBtr0333493	5029	4852	24.6013	0.309635
FBtr0345689	7646	7469	33.6692	0.275286
FBtr0087085	896	719.003	0	0
FBtr0081328	2231	2054	0	0
FBtr0081329	2105	1928	8	0.253394
FBtr0081330	2163	1986	0	0
FBtr0306234	2310	2133	0	0
FBtr0071903	4682	4505	41	0.55578
FBtr0306684	5786	5609	207.74	2.26177
FBtr0302596	5705	5528	191.26	2.11286
FBtr0307272	1406	1229	1144	56.8444
FBtr0071072	1129	952.003	0	0
FBtr0072906	1300	1123	8092.82	440.082
FBtr0072908	1414	1237	32.9661	1.62746
FBtr0072907	1574	1397	83.2091	3.63737
FBtr0072905	1698	1521	0	0
FBtr0346727	1248	1071	0	0
FBtr0089546	1998	1821	0	0
FBtr0089641	4635	4458	0	0
FBtr0343159	4518	4341	49.8383	0.701112
FBtr0343160	7965	7788	2252.53	17.6628
FBtr0308688	3668	3491	611.687	10.7002
FBtr0070794	3341	3164	0	0
FBtr0070795	4509	4332	1677.91	23.6535
FBtr0308689	3179	3002	317.036	6.44928
FBtr0081243	1196	1019	88	5.27378
FBtr0331324	1357	1180	0	0
FBtr0074002	2975	2798	340	7.4207
FBtr0074001	3696	3519	0	0
FBtr0340433	3171	2994	0	0
FBtr0070065	2110	1933	1254	39.6168
FBtr0070064	2054	1877	3.6888e-005	1.20015e-006
FBtr0084008	1816	1639	232	8.64416
FBtr0082924	1843	1666	0	0
FBtr0084758	807	630.074	1222	118.439
FBtr0307295	5425	5248	1227.14	14.2796
FBtr0307292	5251	5074	0	0
FBtr0307294	6324	6147	98542.2	978.979
FBtr0307293	5425	5248	990.081	11.521
FBtr0307291	6331	6154	21648.5	214.825
FBtr0070109	5422	5245	0	0
FBtr0075346	3145	2968	247.443	5.09126
FBtr0333610	2227	2050	0	0
FBtr0344183	5389	5212	4.5069e-007	5.28065e-009
FBtr0344177	3982	3805	10.5236	0.168898
FBtr0344180	3939	3762	39.091	0.634558
FBtr0344176	2855	2678	1825.76	41.6339
FBtr0344184	4895	4718	50.0336	0.647617
FBtr0344178	5393	5216	4006.31	46.9052
FBtr0344182	5562	5385	82.8028	0.939017
FBtr0344181	3939	3762	39.091	0.634558
FBtr0344179	4331	4154	874.388	12.8544
FBtr0333909	1095	918.003	0	0
FBtr0076548	1113	936.003	0	0
FBtr0299561	856	679.074	0	0
FBtr0299560	845	668.074	0	0
FBtr0331686	579	402.074	0	0
FBtr0083328	569	392.074	0	0
FBtr0331685	518	341.398	2	0.357753
FBtr0334332	2186	2009	263.476	8.00893
