target_id	length	eff_length	est_counts	tpm
FBtr0070129	869	680.484	0	0
FBtr0070126	935	746.339	788.476	68.0813
FBtr0070128	913	724.484	0	0
FBtr0070124	1472	1283.26	0	0
FBtr0070127	1050	861.261	404.388	30.2579
FBtr0100530	1544	1355.26	92.3869	4.39301
FBtr0345314	826	637.484	1241.15	125.467
FBtr0070123	1087	898.261	0	0
FBtr0070125	845	656.484	212.598	20.8694
FBtr0305494	2809	2620.26	1	0.0245941
FBtr0070898	1785	1596.26	0	0
FBtr0076372	804	615.484	0	0
FBtr0083376	1088	899.261	470.011	33.6819
FBtr0337064	1216	1027.26	0	0
FBtr0333082	779	590.484	0	0
FBtr0333081	1394	1205.26	0	0
FBtr0076896	792	603.484	195	20.823
FBtr0343759	1362	1173.26	0	0
FBtr0070134	1236	1047.26	14	0.861486
FBtr0081133	2859	2670.26	478	11.5358
FBtr0084716	2511	2322.26	0	0
FBtr0333157	812	623.484	0	0
FBtr0073653	818	629.484	317	32.4526
FBtr0310000	4225	4036.26	0	0
FBtr0310001	5111	4922.26	1323.34	17.3253
FBtr0273391	3923	3734.26	0	0
FBtr0079344	4776	4587.26	0	0
FBtr0343867	5007	4818.26	0	0
FBtr0307033	5383	5194.26	2711	33.6342
FBtr0344520	3428	3239.26	0	0
FBtr0332869	727	538.484	0	0
FBtr0100555	3231	3042.26	14.5	0.307147
FBtr0100880	291	115.672	169	94.1531
FBtr0077015	920	731.412	1157	101.94
FBtr0290083	1202	1013.26	32	2.03518
FBtr0334766	1110	921.261	0	0
FBtr0303151	1687	1498.26	0	0
FBtr0087231	1682	1493.26	0	0
FBtr0087232	1683	1494.26	1770	76.3347
FBtr0074346	819	630.484	0	0
FBtr0073202	1947	1758.26	616	22.5773
FBtr0332429	472	284.43	0	0
FBtr0070682	696	507.484	431	54.7305
FBtr0087075	1378	1189.26	169	9.15766
FBtr0340004	2017	1828.26	44.3316	1.56261
FBtr0087339	1579	1390.26	0	0
FBtr0290211	640	451.531	401.113	57.2471
FBtr0344291	631	442.531	108.553	15.8079
FBtr0083632	970	781.261	524.93	43.2992
FBtr0304675	3624	3435.26	0	0
FBtr0076343	4274	4085.26	187	2.94983
FBtr0332249	2849	2660.26	0	0
FBtr0076210	1891	1702.26	590	22.3358
FBtr0333497	2167	1978.26	0	0
FBtr0333500	2649	2460.26	0	0
FBtr0333494	2593	2404.26	0	0
FBtr0333507	2913	2724.26	0	0
FBtr0333496	2039	1850.26	0	0
FBtr0333504	2886	2697.26	432.74	10.339
FBtr0333509	5560	5371.26	0	0
FBtr0345690	7304	7115.26	0	0
FBtr0333506	1695	1506.26	0	0
FBtr0333502	4814	4625.26	0	0
FBtr0333495	4814	4625.26	0	0
FBtr0333508	3014	2825.26	0	0
FBtr0333503	3380	3191.26	0	0
FBtr0347552	5074	4885.26	2084.53	27.4977
FBtr0333505	3620	3431.26	41.3494	0.776588
FBtr0333499	2188	1999.26	36.5695	1.17876
FBtr0333498	2268	2079.26	0	0
FBtr0333501	7545	7356.26	706.369	6.18799
FBtr0333493	5029	4840.26	53.4327	0.7114
FBtr0345689	7646	7457.26	0.00400848	3.46398e-005
FBtr0087085	896	707.484	0	0
FBtr0081328	2231	2042.26	0	0
FBtr0081329	2105	1916.26	11	0.369924
FBtr0081330	2163	1974.26	0	0
FBtr0306234	2310	2121.26	0	0
